wine_fest_name,vivino_name,winery,rating,num_ratings,match_confidence
Anciano 7-Year-Old Gran Reserva Tempranillo,Reserva - 7 Years Tempranillo,Anciano,3.6,1232,0.675
Anciano 10-Year-Old Gran Reserva Tempranillo,35 Years Old Vines Garnacha,Anciano,3.6,455,0.5569620253164557
Anciano Clásico Garnacha,Clásico Garnacha,Anciano,3.6,690,1.0
Anciano Old Vines Garnacha,35 Years Old Vines Garnacha,Anciano,3.6,455,0.8524590163934426
Villa Conchi Brut Seleccion Cava,Cava Brut Selección,Villa Conchi,3.7,3257,0.8125
Villa Conchi Brut Reserva Cava,Cava Brut Reserva,Villa Conchi,3.5,89,0.8333333333333334
Gran Sello Rosé Rosé,Cava Brut Rosé,Gran Sello,3.9,18,0.7111111111111111
Gran Sello Tempranillo Syrah,Tempranillo - Syrah,Gran Sello,3.8,2434,0.9655172413793104
Rioja Bordón White,Rioja Bordón Gran Reserva,Franco-Espanolas,3.9,10207,0.4666666666666667
Rioja Bordón Reserva,Rioja  Bordón Reserva,Franco-Espanolas,3.7,5931,0.6896551724137931
Rioja Bordón Gran Reserva,Rioja Bordón Gran Reserva,Franco-Espanolas,3.9,10207,0.746268656716418
Finca el Encinal Crianza,Finca El Encinal Crianza,Bodegas Valparaíso,3.6,1216,0.6865671641791045
Baluarte Gran Feudo Verdejo,Gran Baluarte Joven Mezcal,,4,2,0.4528301886792453
Baluarte Gran Feudo Rosado Rosé,Gran Baluarte Joven Mezcal,,4,2,0.45614035087719296
Baluarte Gran Feudo Roble Navarra,Gran Baluarte Joven Mezcal,,4,2,0.4406779661016949
Baluarte Gran Feudo Roble Ribera del Duero,Gran Baluarte Joven Mezcal,,4,2,0.38235294117647056
Pradorey Verdejo,Verdejo,PradoRey,3.5,1062,0.9375
Pradorey Origen Roble,Roble (Origen),PradoRey,3.5,6977,0.6363636363636364
Pradorey Finca Valdelayegua,Single Vineyard Finca Valdelayegua Crianza,PradoRey,3.7,4876,0.6666666666666666
Pradorey Adaro Crianza,Adaro Tinto,PradoRey,4,1130,0.7619047619047619
Ramon Bilbao Verdejo,Verdejo Rueda,Ramón Bilbao,3.7,2715,0.8260869565217391
Ramon Bilbao Rosado Rosé,Rioja Rosado,Ramón Bilbao,3.6,2894,0.7346938775510204
Ramon Bilbao Crianza,Crianza Rioja,Ramón Bilbao,3.7,40327,0.8260869565217391
Ramon Bilbao Limited Edition,Edición Limitada,Ramón Bilbao,3.9,15320,0.631578947368421
Tarima Sparkling,Tarima Moscatel Sparkling,Volver,3.7,215,0.6666666666666666
Tarima Monastrell,Tarima Monastrell,Volver,3.6,12101,0.8292682926829268
Tarima Hill,Tarima Hill Old Vines Monastrell,Volver,3.9,12687,0.44
Volver Single Vineyard,Single Vineyard Tempranillo,Volver,3.9,8828,0.7857142857142857
Bù Viura Airen Verdejo,,,0.0,0,0.0
Bù Tempranillo,Bù Tempranillo,Jessica Harnois,3,33,0.6363636363636364
Liberado Verdejo Sauvignon Blanc,Liberado Verdejo - Sauvignon Blanc,,3.3,68,0.9696969696969697
Liberado Cabernet Sauvignon Tempranillo,Liberado Cabernet Sauvignon - Tempranillo,,3.5,228,0.975
Campo Viejo Tempranillo Blanco,Viura - Tempranillo Blanco,Campo Viejo,3.5,1021,0.8823529411764706
Campo Viejo Reserva,Reserva,Campo Viejo,3.7,37506,1.0
Campo Viejo Gran Reserva,Gran Reserva,Campo Viejo,3.9,17438,1.0
Campo Viejo Wine Maker's Art,Winemaker's Art,Campo Viejo,3.9,405,0.9454545454545454
Familia Castano Dominio Espinal Blanco,,,0.0,0,0.0
Familia Castano Monastrell Ecologico Organic,,,0.0,0,0.0
Familia Castano GSM,,,0.0,0,0.0
Familia Castano Solanera,,,0.0,0,0.0
Freixenet Cordon Negro Brut Cava,Cava Cordón Negro Brut,Freixenet,3.6,14686,0.8125
Freixenet Elyssia Gran Cuvee Brut,Elyssia Gran Cuvée Méthode Traditionelle Brut,Freixenet,3.7,2407,0.75
Freixenet Cuvee DS,Cava Cuvee D.S. de Prestige Gran Reserva Brut,Freixenet,3.7,329,0.4931506849315068
Freixenet Elyssia Pinot Noir Rosé Brut,Elyssia Pinot Noir Brut,Freixenet,3.7,1640,0.9166666666666666
Juan Gil Rosado Rosé,Pedrera Rosado,Juan Gil,0,0,0.6976744186046512
Bodegas Ateca Honoro Vera Garnacha,Atteca Garnacha (Old Vines),Bodegas Ateca,3.9,6671,0.6666666666666666
Bodegas Tridente Entresuelos Tempranillo,Atteca Oriente,Bodegas Ateca,3.5,118,0.4117647058823529
Bodegas Tridente Gota de Arena,Atteca Oriente,Bodegas Ateca,3.5,118,0.4827586206896552
Beronia Rueda Verdejo,Rueda Verdejo,Beronia,3.5,1648,1.0
Beronia Gran Reserva,Rioja Gran Reserva,Beronia,4.1,11120,0.8695652173913043
Beronia Tempranillo,Rioja Tempranillo,Beronia,3.7,2120,0.8636363636363636
Tio Pepe Sherry,Palomino Fino Sherry (Muy Seco),Tio Pepe,3.3,4551,0.5454545454545454
Gran Castillo de Rocio Cava Brut,Dulce de Moscatel,Gran Castillo,3.4,9,0.6666666666666666
Goatas del Mar Albarino,,,0.0,0,0.0
Manos Libre Organic Tempranillo,Tempranillo,Manos Libre,3.4,208,0.8518518518518519
Radio Boka Tempranillo,Tempranillo Valencia,Radio Boca,3.6,5728,0.7924528301886793
Pata Negra Organic Cava,Organic Cava,Pata Negra,3.5,251,1.0
Pata Negra Verdejo,Verdejo,Pata Negra,3.3,2359,1.0
Pata Negra Toro Roble,Toro Roble,Pata Negra,3.3,789,1.0
Antano Rioja Reserva DO,Rioja Reserva,Antaño,3.4,3333,0.8837209302325582
Nisia,Nisia Verdejo Old Vines,Ordóñez,3.8,2322,0.2777777777777778
La Cana,Albarino,La Caña,3.8,3999,0.5217391304347826
Botani Old Vines,Moscatel Old Vines,Botani,3.9,2750,0.7804878048780488
Triton Tinta de Toro,Triton Tinta de Toro,Tridente,3.7,1674,0.8163265306122449
Juvé Y Camps Cinta Purpura Brut Reserva,Juve Y Champs Brut Nature Reserva Cava,,3.9,28,0.6233766233766234
Juvé Y Camps Reserva de la Familia,Juve Y Champs Brut Nature Reserva Cava,,3.9,28,0.6111111111111112
Juvé Y Camps Gran Reserva,Juve Y Champs Brut Nature Reserva Cava,,3.9,28,0.6984126984126984
Juvé Y Camps Brut Rosé,Huve Y Pamps Pinot Noir Brut Rose,,3.1,4,0.6545454545454545
El Petit Bonhomme Blanco,El Petit Bonhomme Blanco,Les Vins Bonhomme,3.4,253,0.7272727272727273
El Petit Bonhomme Tinto,El Petit Bonhomme Tinto,Les Vins Bonhomme,3.5,527,0.71875
El Grand Bonhomme,El Grand Bonhomme Cuvée Especial Tempranillo,Les Vins Bonhomme,3.7,69,0.43037974683544306
Caminos del Bonhomme Cabernet Sauvignon,Caminos del Bonhomme Cabernet Sauvignon,Les Vins Bonhomme,0,0,0.8125
Marques de Caceres Rosado Rosé,Rioja Rosado,Marqués de Cáceres,3.4,6187,0.7540983606557377
Marques de Caceres Crianza,Rioja Crianza,Marqués de Cáceres,3.6,41071,0.8275862068965517
Marques de Caceres Gaudium,Gaudium,Marqués de Cáceres,4.2,4383,0.9230769230769231
Marques de Caceres Reserva,Rioja Reserva,Marqués de Cáceres,3.8,17330,0.8275862068965517
Marques del Puerto Rosé Rosé,Crianza,Marqués del Puerto,3.3,2036,0.6666666666666666
Marques del Puerto Bentus,Bentus Vendimia Seleccionada,Marqués del Puerto,3.4,99,0.6666666666666666
Marques del Puerto Crianza 2014,Crianza,Marqués del Puerto,3.3,2036,0.8771929824561403
Marques del Puerto Reserva 2010,Reserva,Marqués del Puerto,3.5,444,0.8771929824561403
Camps D'Estels Brut Rosé,Brut,Camps d’Estels,3.4,183,0.7906976744186046
Campos de Luz Garnacha,Garnacha Old Vine,Campos de Luz,3.2,1581,0.8301886792452831
La Sorda Vendimia Seleccionada Rioja Alavesa,Pinot Grigio,Lasorda,3.1,304,0.34375
Lo Tros Priorat,Priorat,Lo Tros,3.8,114,1.0
Lolea No. 2 White Sangria,No. 2 White Sangria Frizzante,Lolea,3.9,784,0.8333333333333334
Lolea No. 5 Rosé Sangria Sangria,No. 5 Rosé,Lolea,3.6,76,0.6666666666666666
Lolea No. 1 Sangria Sangria,No. 1 Red Sangria Frizzante,Lolea,4,877,0.7333333333333333
Lolea No. 1 Sangria Minis Sangria,No. 1 Red Sangria Frizzante,Lolea,4,877,0.696969696969697
Segura Viudas Brut Reserva,Cava Brut Reserva,Segura Viudas,3.6,4209,0.9122807017543859
Segura Viudas Brut Rosado,Cava Brut Rosado,Segura Viudas,3.5,1109,0.9090909090909091
Segura Viudas Heredad Brut Reserva,Cava Reserva Heredad Brut,Segura Viudas,3.9,7705,0.7123287671232876
Segura Viudas Gran Cuvee Reserva,Cava Gran Cuvée Reserva,Segura Viudas,3.8,1997,0.8985507246376812
Vina Esmeralda Rosado Rosé,Viña Esmeralda Rosado,Torres,3.9,1920,0.7407407407407407
Celeste Crianza Ribera del Duero DO,Celeste Crianza,Torres,3.8,22620,0.5263157894736842
Gran Coronas Cabernet Sauvignon Penedes DO,Gran Coronas Reserva Cabernet Sauvignon,Torres,3.7,22475,0.7045454545454546
Mas la Plana Cabernet Sauvignon,Mas La Plana Cabernet Sauvignon,Torres,4.1,14544,0.8695652173913043
St. Hallett Poacher's Blend,Poacher's Blend,St Hallett,3.4,329,0.9811320754716981
St. Hallett Faith Shiraz,Shiraz Faith,St Hallett,3.6,3420,0.723404255319149
St. Hallett The Reward Cabernet Sauvignon,The Reward Cabernet Sauvignon,St Hallett,3.8,234,0.9876543209876543
Grant Burge Barossa Ink Cabernet Sauvignon,Barossa Ink Cabernet Sauvignon,Grant Burge,3.8,297,1.0
Adorada Pinot Gris,Pinot Gris,Adorada,4.1,229,1.0
Adorada Rosé,Rosé,Adorada,3.9,634,1.0
Apothic White,White (Winemaker's Blend),Apothic,3.6,12878,0.5652173913043478
Apothic Rosé,Rosé (Limited Release),Apothic,3.4,2926,0.5714285714285714
Apothic Red,Red (Winemaker's Blend),Apothic,3.7,95520,0.5238095238095238
Apothic Inferno,Inferno (Aged in Whiskey Barrels - Limited Release),Apothic,3.8,11586,0.40540540540540543
McGuigan The Plan Chardonnay,The Plan Chardonnay,McGuigan,3.3,92,1.0
McGuigan The Plan Cabernet Sauvignon,The Plan Cabernet Sauvignon,McGuigan,3.6,158,1.0
Heist Chardonnay,Chardonnay Thieving Beauty,The Heist,3.5,18,0.6153846153846154
